SPLIT,,,,Directors,No of Movies,,,,
Frank Darabont,,,,Christopher Nolan,7,,,,
Francis Ford Coppola,,,,Steven Spielberg,7,,,,
Christopher Nolan,,,,Martin Scorsese,7,,,,
Francis Ford Coppola,,,,Akira Kurosawa,7,,,,
Sidney Lumet,,,,Stanley Kubrick,7,,,,
Steven Spielberg,,,,Alfred Hitchcock,6,,,,
Peter Jackson,,,,Quentin Tarantino,5,,,,
Quentin Tarantino,,,,Charles Chaplin,5,,,,
Peter Jackson,,,,Billy Wilder,5,,,,
Sergio Leone,,,,Sergio Leone,4,,,,
Robert Zemeckis,,,,Hayao Miyazaki,4,,,,
David Fincher,,,,Lee Unkrich,4,,,,
Christopher Nolan,,,,Francis Ford Coppola,3,,,,
Peter Jackson,,,,Peter Jackson,3,,,,
Irvin Kershner,,,,David Fincher,3,,,,
Lana Wachowski,Lilly Wachowski,,,Frank Capra,3,,,,
Martin Scorsese,,,,James Cameron,3,,,,
Milos Forman,,,,Ridley Scott,3,,,,
David Fincher,,,,Pete Docter,3,,,,
Akira Kurosawa,,,,Clint Eastwood,3,,,,
Frank Capra,,,,Ethan Coen,3,,,,
Jonathan Demme,,,,Joel Coen,3,,,,
Fernando Meirelles,Kátia Lund,,,Ingmar Bergman,3,,,,
Steven Spielberg,,,,Frank Darabont,2,,,,
Roberto Benigni,,,,Sidney Lumet,2,,,,
Frank Darabont,,,,Robert Zemeckis,2,,,,
Christopher Nolan,,,,Milos Forman,2,,,,
George Lucas,,,,Roman Polanski,2,,,,
James Cameron,,,,Bong Joon Ho,2,,,,
Robert Zemeckis,,,,Andrew Stanton,2,,,,
Hayao Miyazaki,,,,Anthony Russo,2,,,,
Alfred Hitchcock,,,,Sam Mendes,2,,,,
Roman Polanski,,,,Park Chan-wook,2,,,,
Luc Besson,,,,Mel Gibson,2,,,,
Bong Joon Ho,,,,David Lean,2,,,,
Roger Allers,Rob Minkoff,,,Fritz Lang,2,,,,
Ridley Scott,,,,Guy Ritchie,2,,,,
Tony Kaye,,,,Denis Villeneuve,2,,,,
